id_autor,autor_genero,nombre_autor,autor_rating_promedio,cantidad_rating_autor,cantidad_comentarios,id_pais
1452948,Masculino,صلاح الراشد,3.87,4809,589,126
1108381,Masculino,طارق السويدان,4.05,21046,2087,126
1304524,Masculino,سعد سعود الكريباني,4.11,5445,638,126
8319172,Femenino,Puja Guha,4.08,125,68,126
1195439,Masculino,عبد الله علي العبد الغني,3.87,2179,225,126
6562809,Masculino,Elizabeth Fremantle,3.8,7226,1278,179
119755,Femenino,Michelle Paver,4.2,80823,4859,139
22421,Femenino,Christianna Brand,3.74,5303,538,138
95806,Femenino,Rani Manicka,3.99,6104,629,138
341927,Femenino,Gennita Low,4.2,9736,1015,138
16951538,Masculino,Tao Wong,4.25,6438,410,138
37728,Masculino,Frantz Fanon,4.2,23500,930,144
1670544,Masculino,Geoffrey Knight,3.84,3288,878,14
3408349,Femenino,Lili St. Crow,4,125249,6022,148
5038699,Femenino,Alexia Purdy,3.94,19755,3091,148
4402,Masculino,Miguel Ruiz,4.17,195032,10239,148
4088550,Femenino,Silvia Moreno-Garcia,3.77,10408,2249,148
5337983,Masculino,Jennifer Jaynes,4.03,21822,2342,65
18575,Masculino,Malika Oufkir,4.01,26804,3071,143
106417,Femenino,Lisa Harris,4.08,11192,1981,155
14537381,Femenino,Louise Blackwick,4.68,69,29,168
2964333,Masculino,Serena Yates,3.6,8302,1327,168
797715,Masculino,Robert Bevan,4.1,21103,1600,65
5099267,Masculino,Lance Morcan,3.99,3832,722,166
3319171,Masculino,Kate Hawkings,3.73,317,44,166
2824557,Femenino,Jacqueline Kelly,4.1,30660,5139,166
6907993,Femenino,Tammy Robinson,4.15,1445,403,166
123719,Femenino,Paula Morris,3.83,18511,2038,166
141600,Femenino,Brigid Lowry,3.73,3211,324,166
3380468,Masculino,Paul Huljich,3.46,145,62,166
6886702,Femenino,B.J. Harvey,3.97,17902,3173,166
17049444,Masculino,Tate James,4.22,28379,2886,166
117418,Femenino,Karina Bliss,3.71,5468,884,166
8309933,Femenino,Natasha Jennings,3.97,151,37,166
4789022,Masculino,Chris Strange,3.93,591,113,166
2880618,Masculino,David Hair,4.06,10104,809,166
6642384,Femenino,Kylie Price,4.45,486,206,166
6585392,Masculino,A.W. Exley,3.93,13547,1564,166
4809447,Femenino,Soraya M Lane,3.84,12102,1409,166
6561697,Masculino,Rowena May O'Sullivan,3.99,212,39,166
5763802,Masculino,William Cook,3.68,783,190,166
6464662,Femenino,Chinelo Okparanta,3.97,6019,934,161
18206,Masculino,Thor Heyerdahl,4.1,20698,1193,164
2106002,Masculino,Henrik O. Lunde,3.48,530,69,164
4433334,Femenino,Dawn H. Hawkes,3.65,2399,174,164
7091608,Masculino,Angela Graham,4.07,41444,4062,65
7243288,Masculino,Khalid Muhammad,4.21,349,88,169
169869,Masculino,Padmasambhava,4.09,3416,198,169
72451,Masculino,Jonathan Maberry,4.01,209822,21872,65
5138460,Masculino,David Ebenbach,4.48,232,63,65
345548,Masculino,Tim Wendel,3.72,985,184,65
5752810,Femenino,Kate Evangelista,3.73,5979,1430,68
8583937,Masculino,Mia Alvar,4.06,2610,388,68
4598040,Masculino,Haresh Daswani,4.26,69,29,68
5525538,Masculino,fallenbabybubu,4.1,648,40,68
7023081,Femenino,Jessica Concha,4.42,2742,60,68
7143940,Femenino,Kimberly Joy Villanueva,4.29,2890,81,68
6563773,Masculino,June Gray,4.06,16960,1154,68
13536469,Femenino,Segunda L.,3.07,306,39,68
7794228,Masculino,Mon D. Rea,4.05,74,33,68
6464656,Masculino,Scott Blagden,3.73,1109,174,176
16168306,Femenino,Catia M Rodrigues,4.5,50,28,177
7103548,Femenino,Cecilia Llompart,4.48,61,12,178
5806657,Femenino,Katherine Lowry Logan,4.25,10544,814,65
6554935,Masculino,Florian Armas,3.81,320,122,189
7276650,Masculino,Sorin Suciu,4.14,247,78,189
3149556,Femenino,Scarlet Hyacinth,3.71,17372,952,189
21748,Masculino,Ilona Andrews,4.29,964635,65444,190
2093047,Masculino,Nonna Bannister,3.87,7209,763,190
13817015,Masculino,Vasily Mahanenko,4.22,21348,733,190
3112114,Masculino,Alexey Pehov,4.17,13074,517,190
132260,Femenino,Ekaterina Gordeeva,4.03,3819,323,190
304060,Femenino,Svetlana Chmakova,4.15,45667,3739,190
40411,Femenino,Immaculée Ilibagiza,4.44,38505,5347,188
966321,Femenino,KareyLyn Parker (K.S.R. Kingworth),3.39,212,80,65
1282417,Masculino,عبد الله ناصر الداوود,3.08,1996,459,9
926628,Masculino,غازي عبد الرحمن القصيبي,3.77,66646,10961,9
3407560,Masculino,خالد الباتلي,2.99,11201,1655,9
4086715,Masculino,Kendare Blake,3.93,223603,31669,49
1823273,Femenino,Tila Tequila,2.96,80,7,204
6924387,Femenino,Balli Kaur Jaswal,3.91,25005,3207,204
6940359,Masculino,Khaled Talib,4.31,169,88,204
436431,Femenino,Nina Blazon,3.8,7888,729,61
116581,Femenino,Anya Bast,3.82,43354,2618,242
4611175,Masculino,Leigh Fallon,3.59,14796,1862,209
4610401,Masculino,Cat Hellisen,3.46,4889,1117,209
426034,Femenino,Lauren Beukes,3.6,74113,9967,209
18108320,Femenino,Michelle Heard,4.07,9603,1760,209
6475772,Femenino,Karen Swart,4.12,3047,259,209
5458477,Femenino,Rachel Morgan,4.19,25602,3505,209
43586,Masculino,Rennie Airth,3.94,10584,1253,209
35503,Femenino,Margaret Wild,3.85,7223,1272,209
5265998,Masculino,Shannon Messenger,4.47,67393,7288,65
4548465,Femenino,T.C. Southwell,4.14,10360,459,207
5626443,Femenino,Saga Berg,3.68,710,132,211
4493935,Masculino,Andrea K. Höst,4.05,14853,1806,211
6936449,Masculino,Cara Dee,4.01,21059,3531,211
676070,Masculino,Anders Roslund,3.73,15229,1631,211
105562,Femenino,Linda Olsson,3.68,10010,1774,211
678217,Masculino,Arne Dahl,3.72,12897,1041,211
3105995,Masculino,Lars Kepler,3.87,94643,8063,211
