id_editorial,editorial
649,Balfour Books
650,Ballantine
651,Ballantine Books
652,Ballantine Books (Mm)
653,Ballantine Books (NY)
654,"Ballantine Books, Inc."
655,Ballantine Books/Presidio Press
656,"Ballantine Books/Random House, Inc."
657,Ballantine Del Rey
658,Ballantine Publishing Group
659,Ballinakella Press
660,Bamberger
661,Bamberger Books
662,Bamboo Ridge Press
663,Bancroft Press
664,Banff Centre Press
665,Bank Street
666,Banner of Truth
667,Bantam
668,Bantam (Fanfare Imprint)
669,Bantam (Fanfare)
670,Bantam Books
671,Bantam Books (NY et al.)
672,Bantam Books (NY)
673,Bantam Books for Young Readers
674,Bantam Books Ltd
675,"Bantam Books, Inc."
676,Bantam Classic
677,Bantam Classics
678,Bantam Crimeline Books
679,Bantam Doubleday Dell
680,Bantam Doubleday Dell (NYC)
681,Bantam Doubleday Dell Publishing Company Inc.
682,Bantam Doubleday Dell Publishing Group
683,Bantam Press
684,Bantam Skylark
685,Bantam Spectra
686,Bantam Spectra (NY)
687,Bantam Starfire
688,Bantam/Spectra
689,Bantam; Revised edition
690,BantamSpectra
691,Bantem Press
692,Barbour Books
693,Barbour Publishing
694,"Barbour Publishing, Inc."
695,"Barbour Publishing, Incorporated"
696,Bard College
697,Bard Press
698,Bardic Press
699,Barefoot Books
700,Barefoot Books Ltd
701,Barn Elms Publishing
702,Barn Owl Books
703,Barnabas Publishers
704,Barnes  Noble
705,Barnes  Noble Classics
706,Barnes & Noble
707,Barnes & Noble Books
708,Barnes & Noble Classics
709,Barney Publishing
710,Baron Barclay Bridge
711,Baron Barclay Bridge Supplies
712,Baronet Books
713,Barricade Books
714,Barrington Stoke
715,Barrons Educational Series
716,Barron's Educational Series
717,"Barrons Educational Series, Inc."
718,Barry Eisler
719,"Barrytown/Station Hill Press, Inc."
720,Basic Books
721,Basic Books (AZ)
722,Basic Health Publications
723,"Basil Blackwell (Cambridge, MA/Oxford)"
724,Baskerville Publishers
725,Bastei L├╝bbe
726,Bastei-L├╝bbe
727,Batnam Skylark
728,Baton Wicks
729,Batsford
730,Battelle Press
731,Baughman Literary Group
732,Bay Otter Press
733,Bay Press (WA)
734,Bayeux Arts
735,Baylor University Press
736,BBC Active
737,BBC Audiobooks
738,BBC Books
739,BBC Physical Audio
740,BBC Worldwide Publishing
741,BBS Publishing Corporation
742,Bbt Science
743,BDD
744,Be Beautiful
745,Beach Lane Books
746,Beacon
747,Beacon Hill Press of Kansas City
748,Beacon Pr
749,Beacon Press
750,Beacon Press (MA)
751,Bear  Company
752,Bear Cub Books
753,Bear Star Press
754,Beard Books
755,Bearhead Publishing
756,Bearport Publishing
757,Beaufort Books
758,Beautiful America Publishing Company
759,Beautiful Feet Books
760,Bebes & Gregory Publications
761,Beckett Media
762,Beckham Publications Group
763,Bedbug Press
764,Bedford Books
765,Bedford/St. Martin's
766,Behrman House Publishing
767,Beijing World Publishing
768,Being Happy(PSS)
769,Belfond
770,"Belfond, Editions"
771,Belknap Press
772,Belknap Press of Harvard University Press
773,Bell Buckle Press
774,Bell Pub. Co.
775,Bella Books
776,Belle Publishing
777,Beltz
778,Beltz und Gelberg
779,Belvoir Publications
780,Ben Uri Gallery & Museum
781,BenBella Books
782,"Benbella Books (Dallas, TX)"
783,Benedikt Taschen Verlag
784,Benjamin Cummings
785,Benjamin-Cummings Publishing Company
786,Bennington College
787,Bentley Publishers
788,Benziger
789,Berg Publishers
790,Berghahn Books
791,Bergin & Garvey
792,Berkeley Hills Books
793,Berkeley Scientific Publications
794,Berklee Press Publications
795,Berkley
796,Berkley Books
797,Berkley Books (NY)
798,Berkley Caliber Books
799,Berkley Caliber Books/Berkley Publishing Group
800,Berkley Hardcover
801,Berkley Heat
802,Berkley Jove
803,Berkley Medallion (NY)
804,Berkley Prime Crime
805,Berkley Prime Crime Books
806,Berkley Publishing
807,Berkley Publishing Corp.
808,Berkley Publishing Group
809,Berkley Sensation
810,Berkley Trade
811,Berliner Taschenbuch Verlag
812,Berlitz Guides
813,Berlitz Kids
814,Berlitz Publishing
815,Berrett-Koehler Publishers
816,"Bertelsmann, M├╝nchen"
817,Bertrand
818,Beta Phi Mu
819,Bethany House
820,Bethany House Publishers
821,Bethel Publishing
822,Bethlehem Books
823,Bethlehem Books (Living History Library)
824,Better Homes and Gardens
825,Better Homes and Gardens Books
826,Betterway Books
827,Betterway Publications
828,Betty Crocker
829,Between the Lines Productions
830,Between the Lines(CA)
831,Between-The-Lines
832,Beyond Words Publishing
833,BFI Publishing
834,Bhaktivedanta Book Trust
835,Bianca
836,Bibal Press
837,BiblioBazaar
838,BiblioLife
839,Bibliopolis
840,Biblioteca de Bolsillo
841,Bibliotheca Islamica
842,Bibliotheca Persica Press
843,Big Finish
844,Big Fish Publishing Inc
845,Bilingual Review Press (AZ)
846,Billboard Books
847,"Billboard Books/BPI Communications, Inc."
848,Bindu Books
849,Birch Brook Press
850,Birch Lane Press
851,Birkhauser
852,Birlinn
853,Birlinn Ltd
854,Birlinn Publishers
855,Bishop Museum Press
856,Bison Books
857,BJU Press
858,Black (Aus)
859,Black Belt Communications
860,Black Belt Press
861,Black Books
862,Black Classic Press
863,Black Dog & Leventhal
864,Black Dog & Leventhal Publishers
865,Black Dog Publishing
866,Black Dome Press
867,Black Flame (UK)
868,Black Hawk Canyon Publishing
869,Black Heron Press
870,Black Industries
871,Black Lace
872,Black Library
873,Black Library Publishing
